color,order
"[77, 96, 96]","[(94, 124, 22), (60, 68, 170)]"
"[116, 87, 103]","[(94, 124, 22), (137, 50, 184)]"
"[146, 101, 106]","[(94, 124, 22), (199, 78, 189)]"
"[168, 132, 96]","[(94, 124, 22), (243, 139, 170)]"
"[136, 206, 205]","[(22, 156, 156), (249, 255, 254)]"
"[90, 156, 154]","[(22, 156, 156), (157, 157, 151)]"
"[46, 118, 119]","[(22, 156, 156), (71, 79, 82)]"
"[26, 92, 94]","[(22, 156, 156), (29, 29, 33)]"
"[76, 120, 103]","[(22, 156, 156), (131, 84, 50)]"
"[99, 101, 97]","[(22, 156, 156), (176, 46, 38)]"
"[136, 142, 92]","[(22, 156, 156), (249, 128, 29)]"
"[138, 186, 108]","[(22, 156, 156), (254, 216, 61)]"
"[75, 178, 94]","[(22, 156, 156), (128, 199, 31)]"
"[58, 140, 89]","[(22, 156, 156), (94, 124, 22)]"
"[22, 156, 156]","[(22, 156, 156), (22, 156, 156)]"
"[40, 168, 187]","[(22, 156, 156), (58, 179, 218)]"
"[41, 112, 163]","[(22, 156, 156), (60, 68, 170)]"
"[80, 103, 170]","[(22, 156, 156), (137, 50, 184)]"
"[110, 117, 172]","[(22, 156, 156), (199, 78, 189)]"
"[132, 148, 163]","[(22, 156, 156), (243, 139, 170)]"
"[154, 217, 236]","[(58, 179, 218), (249, 255, 254)]"
"[108, 168, 184]","[(58, 179, 218), (157, 157, 151)]"
"[64, 129, 150]","[(58, 179, 218), (71, 79, 82)]"
"[44, 104, 126]","[(58, 179, 218), (29, 29, 33)]"
"[94, 132, 134]","[(58, 179, 218), (131, 84, 50)]"
"[117, 112, 128]","[(58, 179, 218), (176, 46, 38)]"
"[154, 154, 124]","[(58, 179, 218), (249, 128, 29)]"
"[156, 198, 140]","[(58, 179, 218), (254, 216, 61)]"
"[93, 189, 124]","[(58, 179, 218), (128, 199, 31)]"
"[76, 152, 120]","[(58, 179, 218), (94, 124, 22)]"
"[40, 168, 187]","[(58, 179, 218), (22, 156, 156)]"
"[58, 179, 218]","[(58, 179, 218), (58, 179, 218)]"
"[59, 124, 194]","[(58, 179, 218), (60, 68, 170)]"
"[98, 114, 201]","[(58, 179, 218), (137, 50, 184)]"
"[128, 128, 204]","[(58, 179, 218), (199, 78, 189)]"
"[150, 159, 194]","[(58, 179, 218), (243, 139, 170)]"
"[154, 162, 212]","[(60, 68, 170), (249, 255, 254)]"
"[108, 112, 160]","[(60, 68, 170), (157, 157, 151)]"
"[66, 74, 126]","[(60, 68, 170), (71, 79, 82)]"
"[44, 48, 102]","[(60, 68, 170), (29, 29, 33)]"
"[96, 76, 110]","[(60, 68, 170), (131, 84, 50)]"
"[118, 57, 104]","[(60, 68, 170), (176, 46, 38)]"
"[154, 98, 100]","[(60, 68, 170), (249, 128, 29)]"
"[157, 142, 116]","[(60, 68, 170), (254, 216, 61)]"
"[94, 134, 100]","[(60, 68, 170), (128, 199, 31)]"
"[77, 96, 96]","[(60, 68, 170), (94, 124, 22)]"
"[41, 112, 163]","[(60, 68, 170), (22, 156, 156)]"
"[59, 124, 194]","[(60, 68, 170), (58, 179, 218)]"
"[60, 68, 170]","[(60, 68, 170), (60, 68, 170)]"
"[98, 59, 177]","[(60, 68, 170), (137, 50, 184)]"
"[130, 73, 180]","[(60, 68, 170), (199, 78, 189)]"
"[152, 104, 170]","[(60, 68, 170), (243, 139, 170)]"
"[193, 152, 219]","[(137, 50, 184), (249, 255, 254)]"
"[147, 104, 168]","[(137, 50, 184), (157, 157, 151)]"
"[104, 64, 133]","[(137, 50, 184), (71, 79, 82)]"
"[83, 40, 108]","[(137, 50, 184), (29, 29, 33)]"
"[134, 67, 117]","[(137, 50, 184), (131, 84, 50)]"
"[156, 48, 111]","[(137, 50, 184), (176, 46, 38)]"
"[193, 89, 106]","[(137, 50, 184), (249, 128, 29)]"
"[196, 133, 122]","[(137, 50, 184), (254, 216, 61)]"
"[132, 124, 108]","[(137, 50, 184), (128, 199, 31)]"
"[116, 87, 103]","[(137, 50, 184), (94, 124, 22)]"
"[80, 103, 170]","[(137, 50, 184), (22, 156, 156)]"
"[98, 114, 201]","[(137, 50, 184), (58, 179, 218)]"
"[98, 59, 177]","[(137, 50, 184), (60, 68, 170)]"
"[137, 50, 184]","[(137, 50, 184), (137, 50, 184)]"
"[168, 64, 186]","[(137, 50, 184), (199, 78, 189)]"
"[190, 94, 177]","[(137, 50, 184), (243, 139, 170)]"
"[224, 166, 222]","[(199, 78, 189), (249, 255, 254)]"
"[178, 118, 170]","[(199, 78, 189), (157, 157, 151)]"
"[135, 78, 136]","[(199, 78, 189), (71, 79, 82)]"
"[114, 54, 111]","[(199, 78, 189), (29, 29, 33)]"
"[165, 81, 120]","[(199, 78, 189), (131, 84, 50)]"
"[188, 62, 114]","[(199, 78, 189), (176, 46, 38)]"
"[224, 103, 109]","[(199, 78, 189), (249, 128, 29)]"
"[226, 147, 125]","[(199, 78, 189), (254, 216, 61)]"
"[164, 138, 110]","[(199, 78, 189), (128, 199, 31)]"
"[146, 101, 106]","[(199, 78, 189), (94, 124, 22)]"
"[110, 117, 172]","[(199, 78, 189), (22, 156, 156)]"
"[128, 128, 204]","[(199, 78, 189), (58, 179, 218)]"
"[130, 73, 180]","[(199, 78, 189), (60, 68, 170)]"
"[168, 64, 186]","[(199, 78, 189), (137, 50, 184)]"
"[199, 78, 189]","[(199, 78, 189), (199, 78, 189)]"
"[221, 108, 180]","[(199, 78, 189), (243, 139, 170)]"
"[246, 197, 212]","[(243, 139, 170), (249, 255, 254)]"
"[200, 148, 160]","[(243, 139, 170), (157, 157, 151)]"
"[157, 109, 126]","[(243, 139, 170), (71, 79, 82)]"
"[136, 84, 102]","[(243, 139, 170), (29, 29, 33)]"
"[187, 112, 110]","[(243, 139, 170), (131, 84, 50)]"
"[210, 92, 104]","[(243, 139, 170), (176, 46, 38)]"
"[246, 134, 100]","[(243, 139, 170), (249, 128, 29)]"
"[248, 178, 116]","[(243, 139, 170), (254, 216, 61)]"
"[186, 169, 100]","[(243, 139, 170), (128, 199, 31)]"
"[168, 132, 96]","[(243, 139, 170), (94, 124, 22)]"
"[132, 148, 163]","[(243, 139, 170), (22, 156, 156)]"
"[150, 159, 194]","[(243, 139, 170), (58, 179, 218)]"
"[152, 104, 170]","[(243, 139, 170), (60, 68, 170)]"
"[190, 94, 177]","[(243, 139, 170), (137, 50, 184)]"
"[221, 108, 180]","[(243, 139, 170), (199, 78, 189)]"
"[243, 139, 170]","[(243, 139, 170), (243, 139, 170)]"
