color,order
"[191, 140, 157]","[(249, 255, 254), (29, 29, 33), (243, 139, 170)]"
"[220, 212, 203]","[(249, 255, 254), (131, 84, 50), (249, 255, 254)]"
"[174, 163, 152]","[(249, 255, 254), (131, 84, 50), (157, 157, 151)]"
"[130, 124, 117]","[(249, 255, 254), (131, 84, 50), (71, 79, 82)]"
"[110, 99, 92]","[(249, 255, 254), (131, 84, 50), (29, 29, 33)]"
"[160, 127, 101]","[(249, 255, 254), (131, 84, 50), (131, 84, 50)]"
"[183, 108, 95]","[(249, 255, 254), (131, 84, 50), (176, 46, 38)]"
"[220, 149, 90]","[(249, 255, 254), (131, 84, 50), (249, 128, 29)]"
"[222, 193, 106]","[(249, 255, 254), (131, 84, 50), (254, 216, 61)]"
"[159, 184, 92]","[(249, 255, 254), (131, 84, 50), (128, 199, 31)]"
"[142, 147, 87]","[(249, 255, 254), (131, 84, 50), (94, 124, 22)]"
"[106, 163, 154]","[(249, 255, 254), (131, 84, 50), (22, 156, 156)]"
"[124, 174, 185]","[(249, 255, 254), (131, 84, 50), (58, 179, 218)]"
"[125, 119, 161]","[(249, 255, 254), (131, 84, 50), (60, 68, 170)]"
"[164, 110, 168]","[(249, 255, 254), (131, 84, 50), (137, 50, 184)]"
"[194, 124, 170]","[(249, 255, 254), (131, 84, 50), (199, 78, 189)]"
"[216, 154, 161]","[(249, 255, 254), (131, 84, 50), (243, 139, 170)]"
"[231, 203, 200]","[(249, 255, 254), (176, 46, 38), (249, 255, 254)]"
"[185, 154, 148]","[(249, 255, 254), (176, 46, 38), (157, 157, 151)]"
"[142, 115, 114]","[(249, 255, 254), (176, 46, 38), (71, 79, 82)]"
"[121, 90, 90]","[(249, 255, 254), (176, 46, 38), (29, 29, 33)]"
"[172, 117, 98]","[(249, 255, 254), (176, 46, 38), (131, 84, 50)]"
"[194, 98, 92]","[(249, 255, 254), (176, 46, 38), (176, 46, 38)]"
"[231, 139, 88]","[(249, 255, 254), (176, 46, 38), (249, 128, 29)]"
"[233, 183, 104]","[(249, 255, 254), (176, 46, 38), (254, 216, 61)]"
"[170, 175, 88]","[(249, 255, 254), (176, 46, 38), (128, 199, 31)]"
"[153, 137, 84]","[(249, 255, 254), (176, 46, 38), (94, 124, 22)]"
"[117, 153, 151]","[(249, 255, 254), (176, 46, 38), (22, 156, 156)]"
"[135, 165, 182]","[(249, 255, 254), (176, 46, 38), (58, 179, 218)]"
"[136, 109, 158]","[(249, 255, 254), (176, 46, 38), (60, 68, 170)]"
"[175, 100, 165]","[(249, 255, 254), (176, 46, 38), (137, 50, 184)]"
"[206, 114, 168]","[(249, 255, 254), (176, 46, 38), (199, 78, 189)]"
"[228, 145, 158]","[(249, 255, 254), (176, 46, 38), (243, 139, 170)]"
"[249, 223, 198]","[(249, 255, 254), (249, 128, 29), (249, 255, 254)]"
"[203, 174, 146]","[(249, 255, 254), (249, 128, 29), (157, 157, 151)]"
"[160, 135, 112]","[(249, 255, 254), (249, 128, 29), (71, 79, 82)]"
"[139, 110, 87]","[(249, 255, 254), (249, 128, 29), (29, 29, 33)]"
"[190, 138, 96]","[(249, 255, 254), (249, 128, 29), (131, 84, 50)]"
"[212, 119, 90]","[(249, 255, 254), (249, 128, 29), (176, 46, 38)]"
"[249, 160, 85]","[(249, 255, 254), (249, 128, 29), (249, 128, 29)]"
"[252, 204, 101]","[(249, 255, 254), (249, 128, 29), (254, 216, 61)]"
"[188, 195, 86]","[(249, 255, 254), (249, 128, 29), (128, 199, 31)]"
"[172, 158, 82]","[(249, 255, 254), (249, 128, 29), (94, 124, 22)]"
"[136, 174, 149]","[(249, 255, 254), (249, 128, 29), (22, 156, 156)]"
"[154, 185, 180]","[(249, 255, 254), (249, 128, 29), (58, 179, 218)]"
"[154, 130, 156]","[(249, 255, 254), (249, 128, 29), (60, 68, 170)]"
"[193, 121, 163]","[(249, 255, 254), (249, 128, 29), (137, 50, 184)]"
"[224, 135, 165]","[(249, 255, 254), (249, 128, 29), (199, 78, 189)]"
"[246, 165, 156]","[(249, 255, 254), (249, 128, 29), (243, 139, 170)]"
"[250, 245, 206]","[(249, 255, 254), (254, 216, 61), (249, 255, 254)]"
"[204, 196, 154]","[(249, 255, 254), (254, 216, 61), (157, 157, 151)]"
"[161, 157, 120]","[(249, 255, 254), (254, 216, 61), (71, 79, 82)]"
"[140, 132, 95]","[(249, 255, 254), (254, 216, 61), (29, 29, 33)]"
"[191, 160, 104]","[(249, 255, 254), (254, 216, 61), (131, 84, 50)]"
"[214, 141, 98]","[(249, 255, 254), (254, 216, 61), (176, 46, 38)]"
"[250, 182, 93]","[(249, 255, 254), (254, 216, 61), (249, 128, 29)]"
"[253, 226, 109]","[(249, 255, 254), (254, 216, 61), (254, 216, 61)]"
"[190, 217, 94]","[(249, 255, 254), (254, 216, 61), (128, 199, 31)]"
"[173, 180, 90]","[(249, 255, 254), (254, 216, 61), (94, 124, 22)]"
"[137, 196, 157]","[(249, 255, 254), (254, 216, 61), (22, 156, 156)]"
"[155, 207, 188]","[(249, 255, 254), (254, 216, 61), (58, 179, 218)]"
"[156, 152, 164]","[(249, 255, 254), (254, 216, 61), (60, 68, 170)]"
"[194, 143, 171]","[(249, 255, 254), (254, 216, 61), (137, 50, 184)]"
"[225, 157, 173]","[(249, 255, 254), (254, 216, 61), (199, 78, 189)]"
"[247, 187, 164]","[(249, 255, 254), (254, 216, 61), (243, 139, 170)]"
"[219, 241, 198]","[(249, 255, 254), (128, 199, 31), (249, 255, 254)]"
"[173, 192, 147]","[(249, 255, 254), (128, 199, 31), (157, 157, 151)]"
"[130, 153, 112]","[(249, 255, 254), (128, 199, 31), (71, 79, 82)]"
"[109, 128, 88]","[(249, 255, 254), (128, 199, 31), (29, 29, 33)]"
"[160, 156, 96]","[(249, 255, 254), (128, 199, 31), (131, 84, 50)]"
"[182, 136, 90]","[(249, 255, 254), (128, 199, 31), (176, 46, 38)]"
"[219, 178, 86]","[(249, 255, 254), (128, 199, 31), (249, 128, 29)]"
"[221, 222, 102]","[(249, 255, 254), (128, 199, 31), (254, 216, 61)]"
"[158, 213, 87]","[(249, 255, 254), (128, 199, 31), (128, 199, 31)]"
"[141, 176, 82]","[(249, 255, 254), (128, 199, 31), (94, 124, 22)]"
"[105, 192, 149]","[(249, 255, 254), (128, 199, 31), (22, 156, 156)]"
"[123, 203, 180]","[(249, 255, 254), (128, 199, 31), (58, 179, 218)]"
"[124, 148, 156]","[(249, 255, 254), (128, 199, 31), (60, 68, 170)]"
"[163, 138, 163]","[(249, 255, 254), (128, 199, 31), (137, 50, 184)]"
"[194, 152, 166]","[(249, 255, 254), (128, 199, 31), (199, 78, 189)]"
"[216, 183, 156]","[(249, 255, 254), (128, 199, 31), (243, 139, 170)]"
"[210, 222, 196]","[(249, 255, 254), (94, 124, 22), (249, 255, 254)]"
"[164, 173, 144]","[(249, 255, 254), (94, 124, 22), (157, 157, 151)]"
"[121, 134, 110]","[(249, 255, 254), (94, 124, 22), (71, 79, 82)]"
"[100, 109, 86]","[(249, 255, 254), (94, 124, 22), (29, 29, 33)]"
"[151, 137, 94]","[(249, 255, 254), (94, 124, 22), (131, 84, 50)]"
"[174, 118, 88]","[(249, 255, 254), (94, 124, 22), (176, 46, 38)]"
"[210, 159, 84]","[(249, 255, 254), (94, 124, 22), (249, 128, 29)]"
"[213, 203, 100]","[(249, 255, 254), (94, 124, 22), (254, 216, 61)]"
"[150, 194, 84]","[(249, 255, 254), (94, 124, 22), (128, 199, 31)]"
"[133, 157, 80]","[(249, 255, 254), (94, 124, 22), (94, 124, 22)]"
"[97, 173, 147]","[(249, 255, 254), (94, 124, 22), (22, 156, 156)]"
"[115, 184, 178]","[(249, 255, 254), (94, 124, 22), (58, 179, 218)]"
"[116, 129, 154]","[(249, 255, 254), (94, 124, 22), (60, 68, 170)]"
"[154, 120, 161]","[(249, 255, 254), (94, 124, 22), (137, 50, 184)]"
"[185, 134, 164]","[(249, 255, 254), (94, 124, 22), (199, 78, 189)]"
"[207, 164, 154]","[(249, 255, 254), (94, 124, 22), (243, 139, 170)]"
"[192, 230, 230]","[(249, 255, 254), (22, 156, 156), (249, 255, 254)]"
"[146, 181, 178]","[(249, 255, 254), (22, 156, 156), (157, 157, 151)]"
"[103, 142, 144]","[(249, 255, 254), (22, 156, 156), (71, 79, 82)]"
"[82, 117, 119]","[(249, 255, 254), (22, 156, 156), (29, 29, 33)]"
"[133, 145, 128]","[(249, 255, 254), (22, 156, 156), (131, 84, 50)]"
"[156, 126, 122]","[(249, 255, 254), (22, 156, 156), (176, 46, 38)]"
"[192, 167, 117]","[(249, 255, 254), (22, 156, 156), (249, 128, 29)]"
"[195, 211, 133]","[(249, 255, 254), (22, 156, 156), (254, 216, 61)]"
"[132, 202, 118]","[(249, 255, 254), (22, 156, 156), (128, 199, 31)]"
"[115, 165, 114]","[(249, 255, 254), (22, 156, 156), (94, 124, 22)]"
"[79, 181, 180]","[(249, 255, 254), (22, 156, 156), (22, 156, 156)]"
"[97, 192, 212]","[(249, 255, 254), (22, 156, 156), (58, 179, 218)]"
"[98, 137, 188]","[(249, 255, 254), (22, 156, 156), (60, 68, 170)]"
"[136, 128, 194]","[(249, 255, 254), (22, 156, 156), (137, 50, 184)]"
"[167, 142, 197]","[(249, 255, 254), (22, 156, 156), (199, 78, 189)]"
"[189, 172, 188]","[(249, 255, 254), (22, 156, 156), (243, 139, 170)]"
"[201, 236, 245]","[(249, 255, 254), (58, 179, 218), (249, 255, 254)]"
"[155, 187, 194]","[(249, 255, 254), (58, 179, 218), (157, 157, 151)]"
"[112, 148, 159]","[(249, 255, 254), (58, 179, 218), (71, 79, 82)]"
"[91, 123, 134]","[(249, 255, 254), (58, 179, 218), (29, 29, 33)]"
"[142, 150, 143]","[(249, 255, 254), (58, 179, 218), (131, 84, 50)]"
"[165, 132, 137]","[(249, 255, 254), (58, 179, 218), (176, 46, 38)]"
"[201, 172, 132]","[(249, 255, 254), (58, 179, 218), (249, 128, 29)]"
"[204, 216, 148]","[(249, 255, 254), (58, 179, 218), (254, 216, 61)]"
"[141, 208, 134]","[(249, 255, 254), (58, 179, 218), (128, 199, 31)]"
"[124, 170, 129]","[(249, 255, 254), (58, 179, 218), (94, 124, 22)]"
"[88, 186, 196]","[(249, 255, 254), (58, 179, 218), (22, 156, 156)]"
"[106, 198, 227]","[(249, 255, 254), (58, 179, 218), (58, 179, 218)]"
"[107, 142, 203]","[(249, 255, 254), (58, 179, 218), (60, 68, 170)]"
"[145, 134, 210]","[(249, 255, 254), (58, 179, 218), (137, 50, 184)]"
"[176, 148, 212]","[(249, 255, 254), (58, 179, 218), (199, 78, 189)]"
"[198, 178, 203]","[(249, 255, 254), (58, 179, 218), (243, 139, 170)]"
"[202, 208, 233]","[(249, 255, 254), (60, 68, 170), (249, 255, 254)]"
"[156, 159, 182]","[(249, 255, 254), (60, 68, 170), (157, 157, 151)]"
"[113, 120, 147]","[(249, 255, 254), (60, 68, 170), (71, 79, 82)]"
"[92, 95, 122]","[(249, 255, 254), (60, 68, 170), (29, 29, 33)]"
"[143, 123, 131]","[(249, 255, 254), (60, 68, 170), (131, 84, 50)]"
"[165, 104, 125]","[(249, 255, 254), (60, 68, 170), (176, 46, 38)]"
"[202, 145, 120]","[(249, 255, 254), (60, 68, 170), (249, 128, 29)]"
"[204, 189, 136]","[(249, 255, 254), (60, 68, 170), (254, 216, 61)]"
"[141, 180, 122]","[(249, 255, 254), (60, 68, 170), (128, 199, 31)]"
"[124, 143, 117]","[(249, 255, 254), (60, 68, 170), (94, 124, 22)]"
"[88, 159, 184]","[(249, 255, 254), (60, 68, 170), (22, 156, 156)]"
"[106, 170, 215]","[(249, 255, 254), (60, 68, 170), (58, 179, 218)]"
"[107, 115, 191]","[(249, 255, 254), (60, 68, 170), (60, 68, 170)]"
"[146, 106, 198]","[(249, 255, 254), (60, 68, 170), (137, 50, 184)]"
"[177, 120, 200]","[(249, 255, 254), (60, 68, 170), (199, 78, 189)]"
"[199, 150, 191]","[(249, 255, 254), (60, 68, 170), (243, 139, 170)]"
"[221, 204, 236]","[(249, 255, 254), (137, 50, 184), (249, 255, 254)]"
"[175, 155, 185]","[(249, 255, 254), (137, 50, 184), (157, 157, 151)]"
"[132, 116, 150]","[(249, 255, 254), (137, 50, 184), (71, 79, 82)]"
"[111, 91, 126]","[(249, 255, 254), (137, 50, 184), (29, 29, 33)]"
"[162, 118, 134]","[(249, 255, 254), (137, 50, 184), (131, 84, 50)]"
"[184, 99, 128]","[(249, 255, 254), (137, 50, 184), (176, 46, 38)]"
"[221, 140, 124]","[(249, 255, 254), (137, 50, 184), (249, 128, 29)]"
"[224, 184, 140]","[(249, 255, 254), (137, 50, 184), (254, 216, 61)]"
"[160, 176, 125]","[(249, 255, 254), (137, 50, 184), (128, 199, 31)]"
"[144, 138, 120]","[(249, 255, 254), (137, 50, 184), (94, 124, 22)]"
"[108, 154, 188]","[(249, 255, 254), (137, 50, 184), (22, 156, 156)]"
"[126, 166, 218]","[(249, 255, 254), (137, 50, 184), (58, 179, 218)]"
"[126, 110, 194]","[(249, 255, 254), (137, 50, 184), (60, 68, 170)]"
"[165, 101, 202]","[(249, 255, 254), (137, 50, 184), (137, 50, 184)]"
"[196, 115, 204]","[(249, 255, 254), (137, 50, 184), (199, 78, 189)]"
"[218, 146, 194]","[(249, 255, 254), (137, 50, 184), (243, 139, 170)]"
"[236, 211, 238]","[(249, 255, 254), (199, 78, 189), (249, 255, 254)]"
"[190, 162, 186]","[(249, 255, 254), (199, 78, 189), (157, 157, 151)]"
"[148, 123, 152]","[(249, 255, 254), (199, 78, 189), (71, 79, 82)]"
"[126, 98, 127]","[(249, 255, 254), (199, 78, 189), (29, 29, 33)]"
"[178, 125, 136]","[(249, 255, 254), (199, 78, 189), (131, 84, 50)]"
"[200, 106, 130]","[(249, 255, 254), (199, 78, 189), (176, 46, 38)]"
"[236, 147, 125]","[(249, 255, 254), (199, 78, 189), (249, 128, 29)]"
"[239, 191, 141]","[(249, 255, 254), (199, 78, 189), (254, 216, 61)]"
"[176, 183, 126]","[(249, 255, 254), (199, 78, 189), (128, 199, 31)]"
"[159, 145, 122]","[(249, 255, 254), (199, 78, 189), (94, 124, 22)]"
"[123, 161, 189]","[(249, 255, 254), (199, 78, 189), (22, 156, 156)]"
"[141, 173, 220]","[(249, 255, 254), (199, 78, 189), (58, 179, 218)]"
"[142, 117, 196]","[(249, 255, 254), (199, 78, 189), (60, 68, 170)]"
"[180, 108, 203]","[(249, 255, 254), (199, 78, 189), (137, 50, 184)]"
"[212, 122, 205]","[(249, 255, 254), (199, 78, 189), (199, 78, 189)]"
"[234, 153, 196]","[(249, 255, 254), (199, 78, 189), (243, 139, 170)]"
"[248, 226, 233]","[(249, 255, 254), (243, 139, 170), (249, 255, 254)]"
"[202, 177, 182]","[(249, 255, 254), (243, 139, 170), (157, 157, 151)]"
"[158, 138, 147]","[(249, 255, 254), (243, 139, 170), (71, 79, 82)]"
"[138, 113, 122]","[(249, 255, 254), (243, 139, 170), (29, 29, 33)]"
"[188, 140, 131]","[(249, 255, 254), (243, 139, 170), (131, 84, 50)]"
"[211, 122, 125]","[(249, 255, 254), (243, 139, 170), (176, 46, 38)]"
"[248, 162, 120]","[(249, 255, 254), (243, 139, 170), (249, 128, 29)]"
"[250, 206, 136]","[(249, 255, 254), (243, 139, 170), (254, 216, 61)]"
"[187, 198, 122]","[(249, 255, 254), (243, 139, 170), (128, 199, 31)]"
"[170, 160, 117]","[(249, 255, 254), (243, 139, 170), (94, 124, 22)]"
"[134, 176, 184]","[(249, 255, 254), (243, 139, 170), (22, 156, 156)]"
"[152, 188, 215]","[(249, 255, 254), (243, 139, 170), (58, 179, 218)]"
"[153, 132, 191]","[(249, 255, 254), (243, 139, 170), (60, 68, 170)]"
"[192, 124, 198]","[(249, 255, 254), (243, 139, 170), (137, 50, 184)]"
"[222, 138, 200]","[(249, 255, 254), (243, 139, 170), (199, 78, 189)]"
"[244, 168, 191]","[(249, 255, 254), (243, 139, 170), (243, 139, 170)]"
"[226, 230, 228]","[(157, 157, 151), (249, 255, 254), (249, 255, 254)]"
"[180, 182, 177]","[(157, 157, 151), (249, 255, 254), (157, 157, 151)]"
"[137, 142, 142]","[(157, 157, 151), (249, 255, 254), (71, 79, 82)]"
"[116, 118, 118]","[(157, 157, 151), (249, 255, 254), (29, 29, 33)]"
"[167, 145, 126]","[(157, 157, 151), (249, 255, 254), (131, 84, 50)]"
"[190, 126, 120]","[(157, 157, 151), (249, 255, 254), (176, 46, 38)]"
"[226, 167, 116]","[(157, 157, 151), (249, 255, 254), (249, 128, 29)]"
"[228, 211, 132]","[(157, 157, 151), (249, 255, 254), (254, 216, 61)]"
"[166, 202, 117]","[(157, 157, 151), (249, 255, 254), (128, 199, 31)]"
"[148, 165, 112]","[(157, 157, 151), (249, 255, 254), (94, 124, 22)]"
"[112, 181, 179]","[(157, 157, 151), (249, 255, 254), (22, 156, 156)]"
"[130, 192, 210]","[(157, 157, 151), (249, 255, 254), (58, 179, 218)]"
"[132, 137, 186]","[(157, 157, 151), (249, 255, 254), (60, 68, 170)]"
"[170, 128, 193]","[(157, 157, 151), (249, 255, 254), (137, 50, 184)]"
"[201, 142, 196]","[(157, 157, 151), (249, 255, 254), (199, 78, 189)]"
"[223, 172, 186]","[(157, 157, 151), (249, 255, 254), (243, 139, 170)]"
"[203, 206, 202]","[(157, 157, 151), (157, 157, 151), (249, 255, 254)]"
"[157, 157, 151]","[(157, 157, 151), (157, 157, 151), (157, 157, 151)]"
"[114, 118, 116]","[(157, 157, 151), (157, 157, 151), (71, 79, 82)]"
"[93, 93, 92]","[(157, 157, 151), (157, 157, 151), (29, 29, 33)]"
"[144, 120, 100]","[(157, 157, 151), (157, 157, 151), (131, 84, 50)]"
"[166, 102, 94]","[(157, 157, 151), (157, 157, 151), (176, 46, 38)]"
"[203, 142, 90]","[(157, 157, 151), (157, 157, 151), (249, 128, 29)]"
"[206, 186, 106]","[(157, 157, 151), (157, 157, 151), (254, 216, 61)]"
"[142, 178, 91]","[(157, 157, 151), (157, 157, 151), (128, 199, 31)]"
"[126, 140, 86]","[(157, 157, 151), (157, 157, 151), (94, 124, 22)]"
"[90, 156, 154]","[(157, 157, 151), (157, 157, 151), (22, 156, 156)]"
"[108, 168, 184]","[(157, 157, 151), (157, 157, 151), (58, 179, 218)]"
"[108, 112, 160]","[(157, 157, 151), (157, 157, 151), (60, 68, 170)]"
"[147, 104, 168]","[(157, 157, 151), (157, 157, 151), (137, 50, 184)]"
"[178, 118, 170]","[(157, 157, 151), (157, 157, 151), (199, 78, 189)]"
"[200, 148, 160]","[(157, 157, 151), (157, 157, 151), (243, 139, 170)]"
"[182, 186, 185]","[(157, 157, 151), (71, 79, 82), (249, 255, 254)]"
"[136, 138, 134]","[(157, 157, 151), (71, 79, 82), (157, 157, 151)]"
"[92, 98, 99]","[(157, 157, 151), (71, 79, 82), (71, 79, 82)]"
"[72, 74, 75]","[(157, 157, 151), (71, 79, 82), (29, 29, 33)]"
"[122, 101, 83]","[(157, 157, 151), (71, 79, 82), (131, 84, 50)]"
"[145, 82, 77]","[(157, 157, 151), (71, 79, 82), (176, 46, 38)]"
"[182, 123, 73]","[(157, 157, 151), (71, 79, 82), (249, 128, 29)]"
"[184, 167, 89]","[(157, 157, 151), (71, 79, 82), (254, 216, 61)]"
"[121, 158, 74]","[(157, 157, 151), (71, 79, 82), (128, 199, 31)]"
"[104, 121, 69]","[(157, 157, 151), (71, 79, 82), (94, 124, 22)]"
"[68, 137, 136]","[(157, 157, 151), (71, 79, 82), (22, 156, 156)]"
"[86, 148, 167]","[(157, 157, 151), (71, 79, 82), (58, 179, 218)]"
"[87, 93, 143]","[(157, 157, 151), (71, 79, 82), (60, 68, 170)]"
"[126, 84, 150]","[(157, 157, 151), (71, 79, 82), (137, 50, 184)]"
"[156, 98, 153]","[(157, 157, 151), (71, 79, 82), (199, 78, 189)]"
"[178, 128, 143]","[(157, 157, 151), (71, 79, 82), (243, 139, 170)]"
"[171, 174, 173]","[(157, 157, 151), (29, 29, 33), (249, 255, 254)]"
"[125, 125, 122]","[(157, 157, 151), (29, 29, 33), (157, 157, 151)]"
"[82, 86, 87]","[(157, 157, 151), (29, 29, 33), (71, 79, 82)]"
"[61, 61, 62]","[(157, 157, 151), (29, 29, 33), (29, 29, 33)]"
"[112, 88, 71]","[(157, 157, 151), (29, 29, 33), (131, 84, 50)]"
"[134, 70, 65]","[(157, 157, 151), (29, 29, 33), (176, 46, 38)]"
"[171, 110, 60]","[(157, 157, 151), (29, 29, 33), (249, 128, 29)]"
"[174, 154, 76]","[(157, 157, 151), (29, 29, 33), (254, 216, 61)]"
"[110, 146, 62]","[(157, 157, 151), (29, 29, 33), (128, 199, 31)]"
"[94, 108, 57]","[(157, 157, 151), (29, 29, 33), (94, 124, 22)]"
"[58, 124, 124]","[(157, 157, 151), (29, 29, 33), (22, 156, 156)]"
"[76, 136, 155]","[(157, 157, 151), (29, 29, 33), (58, 179, 218)]"
"[76, 80, 131]","[(157, 157, 151), (29, 29, 33), (60, 68, 170)]"
"[115, 72, 138]","[(157, 157, 151), (29, 29, 33), (137, 50, 184)]"
"[146, 86, 140]","[(157, 157, 151), (29, 29, 33), (199, 78, 189)]"
"[168, 116, 131]","[(157, 157, 151), (29, 29, 33), (243, 139, 170)]"
"[196, 188, 177]","[(157, 157, 151), (131, 84, 50), (249, 255, 254)]"
"[150, 139, 126]","[(157, 157, 151), (131, 84, 50), (157, 157, 151)]"
"[108, 100, 91]","[(157, 157, 151), (131, 84, 50), (71, 79, 82)]"
"[86, 75, 67]","[(157, 157, 151), (131, 84, 50), (29, 29, 33)]"
"[138, 102, 75]","[(157, 157, 151), (131, 84, 50), (131, 84, 50)]"
"[160, 83, 69]","[(157, 157, 151), (131, 84, 50), (176, 46, 38)]"
"[196, 124, 65]","[(157, 157, 151), (131, 84, 50), (249, 128, 29)]"
"[199, 168, 81]","[(157, 157, 151), (131, 84, 50), (254, 216, 61)]"
"[136, 160, 66]","[(157, 157, 151), (131, 84, 50), (128, 199, 31)]"
"[119, 122, 61]","[(157, 157, 151), (131, 84, 50), (94, 124, 22)]"
"[83, 138, 128]","[(157, 157, 151), (131, 84, 50), (22, 156, 156)]"
"[101, 150, 159]","[(157, 157, 151), (131, 84, 50), (58, 179, 218)]"
"[102, 94, 135]","[(157, 157, 151), (131, 84, 50), (60, 68, 170)]"
